term,#messages,#instances
"#halifax",981,987
"#novascotia",131,131
"today",81,81
"march",76,80
"halifax",70,70
"news",54,54
"friday",54,54
"afternoon",52,52
"clearview",47,47
"tickets",46,57
"police",41,41
"program",40,40
"recognition",39,39
"controversial",38,38
"facial",38,38
"global",38,38
"year",38,38
"officer",37,37
"great",37,37
"free",37,42
"denials",37,37
"#atlanticcanada",37,37
"confirmed",36,36
"multiple",35,35
"investigated",35,35
"#cybersecurity",35,35
"https://t.co/ocywhlpnvc",35,35
"#atlseccon",35,35
"regional",35,35
"canada’s",35,35
"#infosec",35,35
"software",35,35
"privacy",35,35
"commissioner",35,35
"power",33,45
"february",32,32
"#lokol",32,32
"love",31,32
"join",31,31
"make",31,31
"treat",30,30
"show",30,34
"find",29,29
"check",29,29
"weather",28,28
"call",28,28
"april",28,33
"shearwater",27,27
"#hbff20",27,33
"road",27,27
"#nspoli",26,26
"left",26,28
"nasty",26,26
"can’t",25,25
"#halifaxferry",25,25
"#womenintech",25,25
"community",25,33
"https://t.co/8ejlwh3m9v",25,25
"weekend",25,25
"announce",24,24
"family",24,24
"pleased",24,24
"city",24,25
"work",23,23
"traffic",23,23
"keynote",23,23
"tonight",23,23
"care",23,23
"place",23,27
"back",22,22
"returning",22,22
"#wosec",22,22
"janca",22,22
"#owasp",22,22
"#appsec",22,22
"happening",22,22
"tanya",22,22
"woo-hoo",22,22
"@shehackspurple",22,22
"#devsecops",22,22
"#hfx",21,21
"working",21,21
"#weather",21,21
"library",21,21
"https://t.co/sw3l1jjzqe",21,21
"nova",21,22
"time",21,22
"#vancouver",20,20
"live",20,20
"click",20,20
"#bhm",20,20
"info",20,20
"link",20,20
"#montreal",19,19
"week",19,19
"https://t.co/pfqfgjembt",19,19
"local",19,19
"it’s",19,21
"opening",19,19
"scotia",19,19
"talk",19,24
"tomorrow",18,18
"team",18,21
"extra",18,18
"safely",18,18
"lovely",18,18
"#toronto",18,18
"#huddersfield",18,18
"wait",18,18
"@thepiecehall",18,18
"sale",18,18
"#hfxtraffic",18,19
"building",18,18
"respond",18,18
"#film",18,18
"#yorkshire",18,18
"home",18,18
"lights",18,19
"days",17,17
"area",17,17
"youth",17,28
"crews",17,17
"outages",16,16
"remember",16,16
"amazing",16,16
"https://t.co/utjcoy1udz",16,16
"arts",16,16
"night",16,20
"#diversity",16,16
"street",16,16
"presented",16,16
"create",15,19
"four-way",15,15
"#africanheritagemonth",15,15
"details",15,15
"#staysafe",15,15
"#hrm",15,15
"quickly",15,15
"#calderdale",15,18
"commute",15,15
"information",15,15
"stops",15,15
"saturday",15,15
"#inclusion",15,15
"life",15,15
"films",15,17
"enter",15,15
"intersections",15,15
"canada",15,15
"impacting",15,15
"open",15,15
"#canada",14,14
"events",14,14
"black",14,15
"group",14,14
"town",14,16
"hard",14,14
"month",14,17
"young",14,14
"appointment",14,25
"beautiful",14,16
"centre",14,14
"#cfp",13,13
"wind",13,13
"change",13,13
"morning",13,13
"#ottawa",13,13
"watch",13,13
"technology",13,13
"anymore",13,13
"papers",13,13
"people",13,13
"annual",13,13
"#gentlemanjack",13,13
"#nsstorm",13,13
"save",12,12
"runs",12,12
"banjo",12,12
"hungry",12,12
"#festival",12,12
"winter",12,13
"#dartmouth",12,12
"#northyorkshire",12,12
"plse",12,12
"event",12,12
"special",12,12
"starting",12,12
"owner",12,12
"learn",12,14
"#northern",12,12
"#teamzay",12,12
"discover",12,12
"#rescuedogs",12,12
"#blackhistorymonth",12,12
"https://t.co/f26e5ugjkk",12,12
"retweeting",12,12
"food",12,12
"share",12,12
"https://t.co/axuxfmzss7",12,12
"hope",12,12
"#saturday",12,12
"post",11,11
"https://t.co/r9cqnaxowh",11,11
"meal",11,11
"driving",11,11
"#calgary",11,11
"supporter",11,11
"adult",11,11
"eligibility",11,11
"things",11,11
"office",11,11
"https://t.co/4pugixsdmv",11,11
"leap",11,11
"https://t.co/bhgnidgamv",11,11
"requirements",11,11
"taxes",11,11
"https://t.co/k2yrfdz26w",11,11
"clinics",11,11
"donation",11,11
"good",11,11
"side",11,19
"@hfxregpolice",11,11
"conference",11,11
"understand",11,11
"hiring",11,11
"https://t.co/czyvcjzxg5",10,10
"pics",10,10
"unveiled",10,10
"chapel",10,10
"visit",10,10
"outage",10,10
"panel",10,10
"partners",10,10
"lead",10,10
"@squarechapel",10,10
"#bradford",10,10
"drivers",10,10
"registration",10,11
"concert",10,10
"info/tix",10,10
"play",10,10
"@td_canada",10,10
"fundraising",10,10
"@q104halifax",10,10
"game",10,13
"yesterday",10,10
"technique",10,10
"public",10,10
"workshop",10,10
"@hablackfilmfest",10,10
"ready",10,10
"colour",10,10
"beat",10,10
"#fcht",10,10
"square",10,10
"@halifaxnoise",10,10
"tech",10,10
"film",9,10
"#leeds",9,9
"idea",9,9
"brand",9,9
"silver",9,11
"space",9,9
"experience",9,9
"celebrations",9,9
"leaders",9,9
"breton",9,13
"water",9,9
"exciting",9,9
"full",9,9
"stay",9,9
"inside",9,9
"online",9,10
"tired",9,9
"support",9,9
"#love",9,9
"reply",9,9
"spring",9,9
"women",9,9
"supervision",9,9
"register",9,9
"barometer",9,9
"response",9,9
"limited",9,9
"records",9,9
"sold",9,11
"#clearviewai",9,9
"@nspowerinc",9,9
"began",9,9
"implementation",9,9
"@privacylawyer",9,9
"https://t.co/ocywhl7n44",9,9
"#halifaxnoise",9,9
"required",9,9
"cape",9,13
"updated",9,9
"east",9,10
"#annelister",9,9
"investigative",9,9
"lives",8,8
"business",8,9
"#edmonton",8,8
"hall",8,9
"narrow",8,8
"spud",8,8
"#capebreton",8,8
"@victheatre",8,8
"give",8,9
"screen",8,8
"takes",8,8
"stand",8,8
"yield",8,8
"mystery",8,8
"happy",8,8
"market",8,9
"right-of-way",8,8
"cool",8,8
"story",8,8
"@hfxgov",8,8
"https://t.co/xr8zttysff",8,8
"rule",8,8
"housing",8,8
"begin",8,8
"unobstructed",8,8
"obstruction",8,16
"artists",8,8
"children",8,8
"@lastfridayclub",8,8
"#coronavirus",8,8
"sharing",8,8
"@stephenmcneil",8,8
"rush",8,8
"buildings",8,8
"#winnipeg",8,8
"climbing",8,10
"gusts",8,8
"snow",8,10
